ESTADOS,GPEH,GPEM,ORDH,ORDM,IGH,IGM,VIOLENCIAE,REGIONES 
Aguascalientes,10.38,10.32,0.35,0.22,0.44,0.53,9.5,5
Baja California,10.22,10.18,0.27,0.22,0.57,0.65,4.4,1
Baja California Sur,10.28,10.4,0.29,0.2,0.37,0.53,6.3,1
Campeche,9.74,9.52,0.48,0.28,0.66,0.7,7.4,8
Coahuila de Zaragoza,10.51,10.36,0.45,0.3,0.55,0.68,9.9,2
Colima,9.99,10.1,0.31,0.24,0.44,0.61,8.9,3
Chiapas,8.09,7.5,0.76,0.37,0.72,0.73,4.5,7
Chihuahua,9.98,10.02,0.36,0.25,0.55,0.68,5.9,1
Ciudad de México,11.67,11.32,0.19,0.15,0.56,0.61,5.8,6
Durango,9.67,9.82,0.42,0.29,0.65,0.73,7.9,1
Guanajuato,9.1,8.99,0.5,0.29,0.54,0.64,10.3,5
Guerrero,8.53,8.23,0.68,0.43,0.52,0.66,10.7,7
Hidalgo,9.42,9.33,0.42,0.28,0.61,0.69,9.8,4
Jalisco,9.95,9.85,0.38,0.26,0.51,0.63,8.9,3
Estado de México,10.25,9.93,0.31,0.21,0.61,0.65,8.2,6
Michoacán de Ocampo,8.58,8.61,0.58,0.35,0.61,0.7,10,3
Morelos,9.88,9.81,0.36,0.22,0.45,0.51,7.5,6
Nayarit,9.56,9.89,0.42,0.32,0.58,0.68,8.8,3
Nuevo León,10.88,10.6,0.43,0.29,0.42,0.59,6.4,2
Oaxaca,8.35,7.92,0.73,0.46,0.56,0.66,8.3,7
Puebla,9.31,9.02,0.46,0.31,0.65,0.66,8.7,4
Querétaro,10.64,10.34,0.33,0.22,0.39,0.54,11.3,5
Quintana Roo,10.36,10.12,0.36,0.22,0.58,0.7,8.1,8
San Luis Potosí,9.58,9.64,0.47,0.3,0.56,0.65,8.6,5
Sinaloa,10.11,10.33,0.43,0.34,0.47,0.61,6.7,1
Sonora,10.35,10.45,0.37,0.31,0.52,0.64,8.7,1
Tabasco,9.87,9.53,0.58,0.31,0.67,0.72,8.5,8
Tamaulipas,10.13,10.06,0.37,0.26,0.7,0.78,6.3,2
Tlaxcala,9.92,9.75,0.36,0.24,0.72,0.74,8.3,4
Veracruz de Ignacio de la Llave,8.86,8.64,0.53,0.36,0.61,0.69,9.1,4
Yucatán,9.72,9.48,0.44,0.25,0.62,0.72,9.8,8
Zacatecas,9.08,9.4,0.48,0.3,0.57,0.63,7.3,5
